Unghianu,Alina,81576.87,chirie,24-MAR-20
Unghianu,Alina,25263.31,chirie,07-JUL-19
Unghianu,Alina,88988.86,chirie,13-AUG-19
Gurau,Tudor,3829.44,chirie,26-OCT-19
Mazilu,Monica,4792.59,chirie,01-FEB-20
Marinov,Petrut,35190.51,chirie,20-NOV-19
Marinov,Petrut,80749.74,chirie,28-NOV-19
Ulinici,George,72710.82,chirie,14-MAY-19
Dascalescu,Emil,10757.26,chirie,11-AUG-19
Chelaru,Petruta,40491.88,chirie,05-MAY-20
Chelaru,Petruta,65825.12,chirie,05-APR-20
Chelaru,Petruta,39732.68,chirie,05-APR-20
Chelaru,Petruta,25948.84,chirie,24-AUG-19
Chelaru,Petruta,49586.67,chirie,30-MAR-20
Chistol,Manuela,55757.89,chirie,23-JUL-19
Chistol,Manuela,40913.25,chirie,15-OCT-19
Catana,Sebastian,13600.33,chirie,17-JUL-19
Babei,Eduard,77440.06,chirie,07-JUN-19
Babei,Eduard,99563.87,chirie,24-JAN-20
Patras,Iulian,65683.28,chirie,09-JUL-19
Costan,Stefana,25292.83,chirie,01-JUL-19
Vicol,Irinel,42369.79,chirie,29-FEB-20
Vicol,Irinel,42460.55,chirie,23-OCT-19
Vicol,Irinel,65201.81,chirie,05-APR-20
Stingaciu,Robert,3517.4,chirie,28-SEP-19
Stingaciu,Robert,20938.22,chirie,28-SEP-19
Hodoreanu,Andrei,97918.7,chirie,14-JAN-20
Apetrei,Valeriu,87991.59,chirie,25-AUG-19
Apetrei,Valeriu,81774.21,chirie,03-JUL-19
Stefanita,Liviu,25252.47,chirie,25-MAR-20
Voaides,Larisa,62209.51,chirie,01-APR-20
Voaides,Larisa,3774.3,chirie,25-JUN-19
Voaides,Larisa,3750.52,chirie,02-JUL-19
Voaides,Larisa,53267.71,chirie,02-JUL-19
Voaides,Larisa,18620.81,chirie,01-JUL-19
Voaides,Larisa,60863.86,chirie,04-NOV-19
Micu,Dragos,39855.89,chirie,05-AUG-19
Micu,Dragos,51153.26,chirie,28-AUG-19
Micu,Dragos,51059.26,chirie,28-AUG-19
Vlad,Theodor,14452.69,chirie,09-JUN-19
Vlad,Theodor,40670.2,chirie,03-MAY-20
Vlad,Theodor,71492.08,chirie,03-MAY-20
Vlad,Theodor,1079.61,chirie,09-MAR-20
Vlad,Theodor,43243.32,chirie,09-MAR-20
Grama,Camelia,18113.45,chirie,08-AUG-19
Grama,Camelia,83882.44,chirie,19-MAR-20
Paparuz,Cezar,47454.67,chirie,19-MAR-20
Paparuz,Cezar,90406.95,chirie,19-MAR-20
Paparuz,Cezar,63093.76,chirie,20-FEB-20
Cojocaru,Oana,66011.11,chirie,27-JUN-19
Coseru,Ioana,23285.65,chirie,30-JUN-19
Maganu,Dumitru,67074.25,chirie,16-APR-20
Maganu,Dumitru,22189.32,chirie,10-AUG-19
Carp,Iulian,25446.52,chirie,01-DEC-19
Carp,Iulian,95108.06,chirie,30-MAY-19
Carp,Iulian,63473.43,chirie,29-JUN-19
Frumosu,Theodor,68967.48,chirie,16-FEB-20
Frumosu,Theodor,31628.1,chirie,18-MAR-20
Frumosu,Theodor,66755.17,chirie,18-MAR-20
Luncasu,Matei,7431.85,chirie,17-FEB-20
Luncasu,Matei,53873.43,chirie,24-DEC-19
Luncasu,Matei,95991.89,chirie,24-DEC-19
Arteni,Dorin,17161.52,chirie,06-JUL-19
Ababei,Vadim,48797.55,chirie,12-APR-20
Ababei,Vadim,60356.2,chirie,12-APR-20
Ababei,Vadim,55478.62,chirie,28-APR-20
Diaconu,Alexandra,59288.29,chirie,12-JUN-19
Diaconu,Alexandra,29129.26,chirie,02-OCT-19
Diaconu,Alexandra,65666.85,chirie,09-DEC-19
Filibiu,Dorian,17282.83,chirie,24-MAY-19
Filibiu,Dorian,40288.79,chirie,06-JAN-20
Filibiu,Dorian,51252.41,chirie,06-JAN-20
Filibiu,Dorian,97605.58,chirie,09-JUN-19
Filibiu,Dorian,37116.64,chirie,18-MAY-19
Voaides,Daniela,60990.33,chirie,27-FEB-20
Voaides,Daniela,30922.5,chirie,27-FEB-20
Voaides,Daniela,46643.3,chirie,09-NOV-19
Voaides,Daniela,1560.69,chirie,29-JUN-19
Mazilu,Costel,49709.14,chirie,24-MAY-19
Birsanu,Ilona,10933.68,chirie,09-MAY-20
Birsanu,Ilona,61371.82,chirie,18-AUG-19
Giurgila,Claudia,99510.63,chirie,31-OCT-19
Giurgila,Claudia,85895.06,chirie,05-JAN-20
Giurgila,Claudia,80885.11,chirie,05-OCT-19
Poenariu,Samuel,51588.81,chirie,04-JUN-19
Matcovici,Danut,44995.48,chirie,02-OCT-19
Matcovici,Danut,55106.2,chirie,13-JUN-19
Matcovici,Danut,4359.08,chirie,22-OCT-19
Matcovici,Danut,62517.14,chirie,22-OCT-19
Ivascu,Irina,76916.88,chirie,26-FEB-20
Ivascu,Irina,69120.43,chirie,29-MAY-19
Ivascu,Irina,39754.66,chirie,29-MAY-19
Calinescu,Daniel,18088.19,chirie,19-SEP-19
Calinescu,Daniel,67951.94,chirie,19-SEP-19
Calinescu,Daniel,53901.75,chirie,12-MAR-20
Calinescu,Daniel,33475.73,chirie,27-JUL-19
Mazilu,Mihail,22539.1,chirie,09-JUN-19
Mazilu,Mihail,59670.13,chirie,13-MAY-19
Simionescu,Constantin,3525.96,chirie,02-MAR-20
Simionescu,Constantin,23913.67,chirie,02-MAR-20
Simionescu,Constantin,84016.71,chirie,11-JUN-19
Simionescu,Constantin,46484.28,chirie,11-JUN-19
Stiufliuc,Andrei,32837.56,chirie,18-OCT-19
Urse,Petruta,67577.57,chirie,15-MAY-19
Urse,Petruta,78085.96,chirie,13-JAN-20
Nicu,Malina,88659.71,chirie,18-JUN-19
Nicu,Malina,54551.02,chirie,26-OCT-19
Nicu,Malina,3241.59,chirie,26-OCT-19
Giosanu,Robert,96069.75,chirie,30-AUG-19
Mihaila,Nicusor,48326.54,chirie,06-AUG-19
Mihaila,Nicusor,44973.46,chirie,29-JAN-20
Mangalagiu,Ciprian,56839.86,chirie,11-AUG-19
Giosanu,Gabriel,47768.98,chirie,15-DEC-19
Giosanu,Gabriel,22838.44,chirie,30-JAN-20
Giosanu,Gabriel,85933.44,chirie,30-JAN-20
Gavrilovici,Daria,15335.31,chirie,14-OCT-19
Hodoreanu,Elisa,75912.44,chirie,16-JAN-20
Hodoreanu,Elisa,33792.73,chirie,27-JAN-20
Hodoreanu,Elisa,58146.52,chirie,12-JAN-20
Razvan,Teodor,5778.05,chirie,07-MAY-20
Razvan,Teodor,31765.7,chirie,14-OCT-19
Mihai,Nicusor,94142.72,chirie,18-JUN-19
Mihai,Nicusor,1017.02,chirie,14-JUN-19
Mihai,Nicusor,90650.57,chirie,28-MAY-19
Diaconu,Mihaela,73488.75,chirie,05-AUG-19
Belciuganu,Denisa,84552.62,chirie,07-SEP-19
Belciuganu,Denisa,57575.98,chirie,07-MAR-20
Moniry-abyaneh,Roland,53542.78,chirie,26-JAN-20
Moniry-abyaneh,Roland,7464.49,chirie,26-JAN-20
Moniry-abyaneh,Roland,13072.32,chirie,26-JAN-20
Moniry-abyaneh,Roland,83526.33,chirie,10-AUG-19
Moniry-abyaneh,Roland,63022.8,chirie,23-DEC-19
Ursache,Danut,27940.12,chirie,26-AUG-19
Ursache,Danut,31791.59,chirie,04-FEB-20
Ursache,Danut,51629.31,chirie,04-FEB-20
Ursache,Danut,45677.22,chirie,08-AUG-19
Domnaru,Cosmin,44060.38,chirie,24-JUN-19
Domnaru,Cosmin,46916.91,chirie,03-MAY-20
Domnaru,Cosmin,17850.11,chirie,19-NOV-19
Domnaru,Cosmin,13470.33,chirie,14-FEB-20
Cebere,Beniamin,23219.8,chirie,14-OCT-19
Cebere,Beniamin,51827.06,chirie,01-MAR-20
Cebere,Beniamin,3046.36,chirie,01-MAR-20
Cebere,Beniamin,2350.84,chirie,01-NOV-19
Corfu,Andreea,71860.07,chirie,11-MAY-20
Bejenaru,Irinel,70020.54,chirie,21-JUL-19
Bejenaru,Irinel,46324.31,chirie,14-APR-20
Onu,Cezar,62511.1,chirie,12-FEB-20
Onu,Cezar,56020.15,chirie,15-JUL-19
Onu,Cezar,89234.45,chirie,02-FEB-20
Stolnicu,Andrei,40595.76,chirie,03-NOV-19
Stolnicu,Andrei,70275.09,chirie,21-JAN-20
Stolnicu,Andrei,72511.49,chirie,28-AUG-19
Dima,Elvis,97007.64,chirie,20-NOV-19
Dima,Elvis,91010.06,chirie,28-NOV-19
Dimache,Simina,49098.71,chirie,15-FEB-20
Dimache,Simina,31394.59,chirie,17-APR-20
Dimache,Simina,23008.04,chirie,30-MAY-19
Dimache,Simina,70541.82,chirie,17-MAR-20
Braescu,Matei,49925.38,chirie,16-SEP-19
Braescu,Matei,9366.37,chirie,02-JUL-19
Scortanu,Bianca,26818.54,chirie,21-SEP-19
Scortanu,Bianca,94678.04,chirie,21-SEP-19
Scortanu,Bianca,27521.58,chirie,10-JUN-19
Crainiceanu,Madalina,6318.45,chirie,01-AUG-19
Crainiceanu,Madalina,79146.57,chirie,01-AUG-19
Crainiceanu,Madalina,95342.94,chirie,17-MAR-20
Crainiceanu,Madalina,30354,chirie,27-AUG-19
Crainiceanu,Madalina,23020.34,chirie,21-AUG-19
Robu,Eduard,21393.41,chirie,23-SEP-19
Robu,Eduard,43696.99,chirie,23-SEP-19
Platon,Dragos,41987.17,chirie,30-JUL-19
Platon,Dragos,91376.82,chirie,20-APR-20
Baetu,Malina,27607.69,chirie,14-JAN-20
Baetu,Malina,14481.47,chirie,21-JAN-20
Baetu,Malina,79009.19,chirie,21-JAN-20
Gorgan,Simina,75674.6,chirie,28-AUG-19
Grosu,Damian,80138.63,chirie,24-FEB-20
Grosu,Damian,60435.9,chirie,29-AUG-19
Grosu,Damian,52704.46,chirie,06-SEP-19
Grosu,Damian,24380.3,chirie,06-SEP-19
Roman,Vadim,12908.36,chirie,13-NOV-19
Roman,Vadim,8896.84,chirie,29-MAR-20
Lucaci,Emanuela,51914.59,chirie,19-MAR-20
Lucaci,Emanuela,49902.28,chirie,16-AUG-19
Lucaci,Emanuela,5592.86,chirie,21-OCT-19
Grigoriu,Cristina,70829.79,chirie,29-MAR-20
Grigoriu,Cristina,42214.28,chirie,19-FEB-20
Urse,Valeriu,81489.5,chirie,15-AUG-19
Urse,Valeriu,3799.41,chirie,30-AUG-19
Urse,Valeriu,83325.59,chirie,22-OCT-19
Urse,Valeriu,77308.13,chirie,23-FEB-20
Gavriliuc,Ema,13201.73,chirie,05-JUL-19
Sava,Ilona,58971.59,chirie,05-SEP-19
Sava,Ilona,19665.74,chirie,05-SEP-19
Sava,Ilona,12834.8,chirie,09-MAY-20
Sava,Ilona,67549.03,chirie,24-APR-20
Sava,Ilona,27496.75,chirie,02-NOV-19
Apetrei,Damian,30997.09,chirie,02-DEC-19
Apetrei,Damian,25331.31,chirie,13-JUN-19
Aungurenci,Sabina,68041.16,chirie,15-JUN-19
Patachi,Madalina,87333.18,chirie,26-APR-20
Patachi,Madalina,34676.55,chirie,21-SEP-19
Patachi,Madalina,41835.55,chirie,21-SEP-19
Patachi,Madalina,88902.07,chirie,05-JUL-19
Alexandru,Cristina,13820.87,chirie,05-MAR-20
Alexandru,Cristina,30911.57,chirie,05-MAR-20
Alexandru,Cristina,1104.45,chirie,02-MAY-20
Alexandru,Cristina,57725.33,chirie,21-APR-20
Alexandru,Cristina,54276.84,chirie,04-JUL-19
Alexandru,Cristina,4417.65,chirie,11-JUL-19
Alexandru,Cristina,86326.13,chirie,11-JUL-19
Alexandru,Cristina,52375.4,chirie,04-SEP-19
Babei,Adrian,82197.88,chirie,26-JAN-20
Babei,Adrian,40163.36,chirie,13-MAR-20
Babei,Adrian,70110.95,chirie,13-MAR-20
Cojocaru,Stefania,28721.49,chirie,06-OCT-19
Corduneanu,Andreea,90383.23,chirie,19-JAN-20
Corduneanu,Andreea,46874.84,chirie,16-OCT-19
Corduneanu,Andreea,48307.86,chirie,13-SEP-19
Folvaiter,Romanescu,35696.12,chirie,05-SEP-19
Cebere,Ana,93209.67,chirie,11-SEP-19
Ungureanu,Irinel,90838.92,chirie,14-OCT-19
Ungureanu,Irinel,54093.85,chirie,02-JUL-19
Ungureanu,Irinel,96145.97,chirie,02-JUL-19
Matei,Liviu,40328.4,chirie,26-OCT-19
Matei,Liviu,92626.68,chirie,26-OCT-19
Iordache,Iustin,85578.06,chirie,27-JUN-19
Iordache,Iustin,92442.6,chirie,06-FEB-20
Toma,Andreas,2622.41,chirie,14-MAY-19
Toma,Andreas,18586.08,chirie,14-MAY-19
Alexandrescu,Ciprian,69180.48,chirie,09-NOV-19
Patachi,Anca,76040.82,chirie,11-MAY-20
Patachi,Anca,69603.34,chirie,11-MAY-20
Dudau,Dumitru,2429.05,chirie,24-DEC-19
Moniry-abyaneh,Daniela,47713.03,chirie,10-APR-20
Moniry-abyaneh,Daniela,35473.69,chirie,16-FEB-20
Poputoaia,Costel,15976.27,chirie,29-JAN-20
Poputoaia,Costel,58483.58,chirie,08-JUN-19
Chiriac,Monica,73841.79,chirie,06-AUG-19
Chiriac,Monica,72946.32,chirie,04-AUG-19
Chiriac,Monica,85626.12,chirie,04-AUG-19
Bodnar,Ilie,50826.15,chirie,09-JUN-19
Bodnar,Ilie,7963.73,chirie,06-APR-20
Bodnar,Ilie,25417.31,chirie,06-APR-20
Bodnar,Ilie,16551.79,chirie,05-OCT-19
Bursuc,Sergiu,96772.11,chirie,31-MAY-19
Huma,Antonia,66972.91,chirie,29-JAN-20
Huma,Antonia,13154.63,chirie,22-MAR-20
Tabusca,Andreia,65725.59,chirie,23-JUL-19
Tabusca,Andreia,5909.98,chirie,27-JUL-19
Tabusca,Andreia,40770.42,chirie,26-NOV-19
Simionesei,Adrian,17729.68,chirie,18-MAR-20
Simionesei,Adrian,4160.43,chirie,18-MAR-20
Simionesei,Adrian,97167.57,chirie,28-MAY-19
Ichim,Elisa,31100.73,chirie,06-JUL-19
Bulbuc-aioanei,Alin,70059.59,chirie,06-JAN-20
Bulbuc-aioanei,Alin,33601.22,chirie,06-JAN-20
Reut,Tamara,66444.18,chirie,07-AUG-19
Simiganoschi,Radu,51095.62,chirie,03-JUN-19
Simiganoschi,Radu,37725.86,chirie,03-JUN-19
Simiganoschi,Radu,29166.07,chirie,24-NOV-19
Simiganoschi,Radu,18531.75,chirie,24-FEB-20
Simiganoschi,Radu,5366.87,chirie,01-JUN-19
Herscovici,Alin,18642.88,chirie,26-NOV-19
Herscovici,Alin,51589.24,chirie,17-AUG-19
Herscovici,Alin,99388.31,chirie,17-AUG-19
Herscovici,Alin,33175.5,chirie,19-MAR-20
Lazar,Constantin,39170.73,chirie,15-JUN-19
Galatanu,Nicolae,38105.57,chirie,13-AUG-19
Filibiu,Samuel,88648.82,chirie,06-FEB-20
Filibiu,Samuel,70914.43,chirie,09-MAR-20
Filibiu,Samuel,91088,chirie,16-MAR-20
Filibiu,Samuel,64667.88,chirie,16-MAR-20
Apetrei,Dorin,39756.14,chirie,02-JUL-19
Silitra,Claudia,72740.39,chirie,12-NOV-19
Silitra,Claudia,15973.06,chirie,23-FEB-20
Silitra,Claudia,53254.18,chirie,15-SEP-19
Andronic,Octavian,39402.68,chirie,25-JUN-19
Romaniuc,Ciprian,57412.59,chirie,28-APR-20
Romaniuc,Ciprian,28947.54,chirie,28-APR-20
Romaniuc,Ciprian,63103.51,chirie,13-JUN-19
Romaniuc,Ciprian,50267.88,chirie,26-FEB-20
Romaniuc,Ciprian,98701.35,chirie,15-FEB-20
Irimia,Irina,65240.08,chirie,10-NOV-19
Irimia,Irina,82650.61,chirie,30-JAN-20
Larion,Emil,46459.93,chirie,09-JAN-20
Larion,Emil,32975.82,chirie,18-MAY-19
Larion,Emil,58689.32,chirie,19-SEP-19
Jecu,Elena,59031.72,chirie,31-AUG-19
Jecu,Elena,45443.75,chirie,02-MAR-20
Jecu,Elena,45038.15,chirie,02-MAR-20
Jecu,Elena,49419.11,chirie,10-MAR-20
Iordache,Richard,83641.36,chirie,03-JAN-20
Iordache,Richard,35461.73,chirie,10-AUG-19
Iordache,Richard,58009.73,chirie,17-APR-20
Gherman,Valentin,94436.2,chirie,17-FEB-20
Gherman,Valentin,24439.43,chirie,13-JAN-20
Gherman,Valentin,75900.42,chirie,13-JAN-20
Eusebiu,Valentin,70133.9,chirie,18-DEC-19
Sparhat,Iulian,9133.32,chirie,14-SEP-19
Sparhat,Iulian,27953.52,chirie,25-SEP-19
Sparhat,Iulian,6409.74,chirie,17-SEP-19
Sparhat,Iulian,1856.85,chirie,31-MAY-19
Sparhat,Iulian,39158.74,chirie,31-MAY-19
Sparhat,Iulian,37050.04,chirie,01-JUL-19
Sparhat,Iulian,47774.39,chirie,10-FEB-20
Burloiu,Romanescu,10417.67,chirie,21-MAY-19
Burloiu,Romanescu,80921.61,chirie,19-JAN-20
Burloiu,Romanescu,39231.35,chirie,14-OCT-19
Burloiu,Romanescu,77250.8,chirie,21-APR-20
Mihociu,Dorin,88328.92,chirie,27-NOV-19
